Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
2012-10-31,2540.2981,1037.2508,2450.0232,1504.3157,1844.11,1438.21,10467.52,637.74,1720.65
2012-11-30,2555.0047,1042.7743,2510.1827,1523.4666,1847.02,1449.72,10439.07,650.05,1714.98
2012-12-31,2578.1632,1080.1787,2590.8212,1600.1963,1844.39,1472.56,10819.84,646.58,1675.35
2013-01-31,2711.6878,1147.7901,2727.9372,1621.5457,1831.49,1492.3,11215.56,675.37,1663.7
2013-02-28,2748.4814,1160.45,2703.3862,1600.4505,1840.67,1499.88,11354.74,648.21,1579.61
2013-03-29,2851.5627,1214.0403,2728.058,1573.265,1842.14,1515.15,11696.24,655.05,1597.5
2013-04-30,2906.4973,1209.5803,2871.4516,1585.6149,1860.78,1542.56,12436.69,624.44,1476.71
2013-05-31,2974.427,1257.9211,2805.2457,1545.5826,1827.58,1533.62,11702.91,615.46,1387.8
2013-06-28,2934.4917,1251.4737,2706.3589,1447.9809,1799.31,1493.4,11446.85,611.3,1234.53
2013-07-31,3083.8099,1339.0493,2850.4027,1463.6322,1801.77,1521.71,11541.72,638.64,1325.07
2013-08-30,2994.4407,1296.4981,2813.5702,1439.0069,1792.56,1512.46,10777.4,657.05,1395.27
2013-09-30,3088.3531,1379.1887,3023.278,1533.0414,1809.53,1527.48,11147.52,632.4,1329.03
2013-10-31,3230.3029,1413.8701,3125.3627,1607.8468,1824.16,1565.75,11630.75,622.52,1323.06
2013-11-29,3328.6933,1470.5219,3150.3252,1584.3384,1817.33,1573.7,11064.85,620.12,1253.35
2013-12-31,3412.736,1499.5247,3198.1427,1563.9959,1807.06,1582.19,11128.83,632.29,1201.64
2014-01-31,3294.7432,1458.0181,3070.42,1461.5411,1833.76,1593.29,11497.42,622.26,1244.55
2014-02-28,3445.3975,1526.7091,3242.5463,1509.1686,1843.51,1625.52,12033.97,649.6444,1326.39
2014-03-31,3474.3664,1516.3156,3225.5463,1555.6466,1840.37,1629.36,12076.48,648.857,1284.01
2014-04-30,3500.0397,1457.5111,3273.8991,1561.4713,1855.9,1639.68,12438.1,652.5111,1291.6
2014-05-30,3582.1403,1469.1934,3330.5884,1616.2933,1877.03,1654.77,12800.55,649.6324,1249.68
2014-06-30,3656.1411,1547.3653,3363.4319,1659.9172,1878.0,1668.59,12937.07,658.5723,1327.33
2014-07-31,3605.7146,1453.7046,3298.454,1693.0612,1873.29,1646.34,12941.18,621.7026,1282.59
